"cover_type","contrast","response","SE","df","lower.CL","upper.CL","meanTSC","sig"
"bare",".",1249.73654615489,103.556408797834,30,988.909402079746,1579.28795827261,1287.28022710622,"a"
"buffel",".",1098.94158785721,103.529407521813,30,842.149709830362,1433.94267102488,1143.79353733333,"a"
"other",".",1688.81837485292,139.910777340227,30,1336.42561710263,2134.0616464014,1777.72922222222,"b"
