"plot","cover_type","BD_g_cm3"
"Lola_01","buffel",0.32293
"Lola_01","other",1.63189
"Lola_02","bare",1.9234
"Lola_02","buffel",1.36725
"Lola_02","other",1.26115
"Lola_03","bare",0.27025
"Lola_03","buffel",1.54331
"Lola_03","other",1.45438
"Lola_04","bare",3.44839
"Lola_04","buffel",1.58349
"Lola_04","other",1.56085
"Lola_05","bare",1.65318
"Lola_05","buffel",1.47819
"Lola_05","other",1.748
"Lola_06","bare",1.77548
"Lola_06","other",1.43119
"RR_01","bare",1.47788
"RR_01","buffel",0.84708
"RR_01","other",0.89491
"RR_02","bare",0.89123
"RR_02","buffel",0.64032
"RR_02","other",0.59113
"RR_03","bare",0.4982
"RR_03","other",0.53189
"RR_04","bare",1.68795
"RR_04","buffel",0.20194
"RR_04","other",1.86333
"RR_05","bare",0.14416
"RR_05","buffel",1.32781
"RR_05","other",1.75372
"RR_06","bare",1.32389
"RR_06","other",1.53422
"RR_07","bare",1.60057
"RR_07","buffel",1.20696
"RR_07","other",1.07995
