site,plot,subplot,individual_number,datasheet_number,Genus,Species,HeightN,maxDN,max90DN,total_minishrub,scientific_name_clean,volume
LOLA,06,6,3,4,Parkinsonia,microphylla,248,276,317,NA,Parkinsonia microphylla,17041581.91576845
LOLA,06,8,1,4,Fouquieria,splendens,370,7,6,NA,Fouquieria splendens,12205.087459196347
LOLA,06,8,2,4,Fouquieria,splendens,347.5,12,13,NA,Fouquieria splendens,42576.43443777567
RR,01,wholeplot,1,7,Acacia,greggii,127,223,205,9,Acacia greggii,4559868.584043723
RR,01,wholeplot,2,7,Prosopis,velutina,140,120,80,9,Prosopis velutina,1055575.1316061704
RR,01,wholeplot,3,7,Dalea,albiflora,90,77,63,9,Dalea albiflora,342896.98415769194
RR,01,1,1,3,Prosopis,velutina,242.5,300,233,NA,Prosopis velutina,13313087.918209298
RR,01,2,1,3,Prosopis,velutina,238,265,220,NA,Prosopis velutina,10897713.676404955
RR,01,2,2,3,Prosopis,velutina,255,330,240,NA,Prosopis velutina,15861901.307974864
RR,01,2,3,3,Ferocactus,wislizeni,50,45,45,NA,Ferocactus wislizeni,79521.56404399165
RR,01,2,4,3,Prosopis,velutina,201,380,144,NA,Prosopis velutina,8638374.487722782
RR,01,2,5,3,Prosopis,velutina,212,294,150,NA,Prosopis velutina,7342844.509235423
RR,01,3,3,3,Lycium,sp,236,324,294,NA,Lycium sp. (2),17656077.43881061
RR,01,4,1,3,Prosopis,velutina,187,280,172,NA,Prosopis velutina,7073233.027704347
RR,01,4,2,3,Prosopis,velutina,200,260,200,NA,Prosopis velutina,8168140.899333461
RR,01,5,3,4,Prosopis,velutina,142,164,82,NA,Prosopis velutina,1499808.8991943814
RR,01,5,5,4,Prosopis,velutina,214,264,285,NA,Prosopis velutina,12645978.572201138
RR,01,6,1,4,Cylindropuntia,versicolor,77,48,34,NA,Cylindropuntia versicolor,98696.27480517694
RR,01,6,2,4,Cylindropuntia,versicolor,46,16,11,NA,Cylindropuntia versicolor,6358.583530865741
RR,01,6,3,4,Prosopis,velutina,291,283,278,NA,Prosopis velutina,17981010.796175078
RR,01,6,4,4,Lycium,sp,250,305,300,NA,Lycium sp. (2),17965982.98771663
RR,01,7,2,4,Mammillaria,grahamii,11,6,6,NA,Mammillaria grahamii,311.01767270538954
RR,01,8,7,4,Prosopis,velutina,224,313,249,NA,Prosopis velutina,13711393.171998352
RR,01,8,8,4,Prosopis,velutina,306,293,145,NA,Prosopis velutina,10210498.137413818
RR,01,wholeplot,1,4B,Prosopis,velutina,200,185,130,NA,Prosopis velutina,3777765.1659417255
RR,01,wholeplot,2,4B,Prosopis,velutina,179,340,300,NA,Prosopis velutina,14339799.667310612
RR,01,wholeplot,3,4B,Prosopis,velutina,247,329,292,NA,Prosopis velutina,18636552.798032716
RR,02,wholeplot,1,7,Mimosa,aculetecorpa,110,200,125,5,Mimosa aculetecorpa,2159844.949342983
RR,02,wholeplot,2,7,Prosopis,velutina,143,190,170,5,Prosopis velutina,3627675.576916474
RR,02,wholeplot,3,7,Prosopis,velutina,117,122,100,5,Prosopis velutina,1121077.3384335176
RR,02,1,8A,3,Fouquieria,splendens,286,29,49,NA,Fouquieria splendens,319190.5259937034
RR,02,1,9A,3,Fouquieria,splendens,385,21,20,NA,Fouquieria splendens,126998.8830213674
RR,02,1,10A,3,Fouquieria,splendens,211,18,14,NA,Fouquieria splendens,41761.19114416912
RR,02,2,8B,3,Cylindropuntia,versicolor,93,94,63,NA,Cylindropuntia versicolor,432554.89689849113
RR,02,2,9B,3,Cylindropuntia,versicolor,133,92,88,NA,Cylindropuntia versicolor,845691.6096051435
RR,02,2,10B,3,Cylindropuntia,versicolor,95,72,44,NA,Cylindropuntia versicolor,236373.43125609605
RR,02,3,3C,3,Cylindropuntia,versicolor,93,109,56,NA,Cylindropuntia versicolor,445848.5462121562
RR,02,3,6C,3,Fouquieria,splendens,311,14,11,NA,Fouquieria splendens,37615.859637757385
RR,02,3,7C,3,Fouquieria,splendens,122,8,6,NA,Fouquieria splendens,4599.291644855457
RR,02,3,8C,3,Prosopis,velutina,259,300,365,NA,Prosopis velutina,22274284.613033332
RR,02,3,9C,3,Prosopis,velutina,314,318,220,NA,Prosopis velutina,17253187.03054364
RR,02,3,10C,3,Cylindropuntia,versicolor,95,79,5,NA,Cylindropuntia versicolor,29472.066081489247
RR,02,4,1D,3,Fouquieria,splendens,341,11,9,NA,Fouquieria splendens,26514.256598134452
RR,02,4,3D,3,Cylindropuntia,versicolor,140,153,111,NA,Cylindropuntia versicolor,1867378.381257041
RR,03,wholeplot,6D,7,Dalea,albiflora,125,200,153,49,Dalea albiflora,3004147.97499524
RR,03,wholeplot,7D,7,Dalea,albiflora,70,113,123,49,Dalea albiflora,764137.4351142794
RR,03,wholeplot,8D,7,Dalea,albiflora,109,89,70,49,Dalea albiflora,533340.3308183053
RR,03,wholeplot,9A,3,Prosopis,velutina,230,410,395,NA,Prosopis velutina,29254903.48930985
