site_plot,bare_cover,weighted_bare,buffel_cover,weighted_buffel,other_cover,weighted_other,weighted_TC_gC_m2,site,plot,woody_gC_m2,herb_gC_m2,ecosystem_gC_m2
LOLA_01,51.2,774.0330666666669,22.22,279.7573548,26.58,374.3942645400008,1428.1846860066676,LOLA,1,142.38108848608573,139.929496875,1710.4952713677533
LOLA_02,42.699999999999996,637.7851055333333,7.1,73.89690223999999,50.2,836.3492353333353,1548.0312431066686,LOLA,2,47.34849697520472,38.19250875,1633.5722488318734
LOLA_03,54.65,568.4184390666666,19.73,214.45839574599998,25.62,477.28248666000115,1260.1593214726677,LOLA,3,213.5867018502593,70.7173975,1544.463420822927
LOLA_04,36.08,665.4507405333333,55.47,831.079530162,8.45,194.10562130555599,1690.6358920008893,LOLA,4,26.27843654416514,301.61744,2018.5317685450543
LOLA_05,28.040000000000006,415.4259657333335,64.25,984.1973697499999,7.71,138.57164838666696,1538.1949838700004,LOLA,5,4.7529758285223895,374.0737725,1917.0217321985228
LOLA_06,54.5,807.4434783333335,0,0,45.5,668.4584118333348,1475.9018901666682,LOLA,6,55.26416484887058,14.3463175,1545.5123725155388
RR_01,49.5,600.2171811428548,11.48,68.859751576,39.02,550.2646573666668,1219.3415900855216,RR,1,50.32881035530876,83.976760625,1353.6471610658305
RR_02,18,163.3688571428565,67.82,702.8288239573334,14.18,258.45451146666664,1124.6521925668567,RR,2,6.698991442649561,302.850743125,1434.2019271345061
RR_03,63.77,840.3879162799967,0,0,36.23,489.57212546666665,1329.9600417466634,RR,3,19.974933245161544,92.37282125,1442.307796241825
RR_04,38.69,415.76430233904597,26.68,296.0233759413333,34.63,553.6519154833335,1265.4395937637128,RR,4,99.6564222689462,136.063554375,1501.159570407659
RR_05,44.04,297.3835980342846,15.93,118.430527248,40.03,456.00908383333336,871.823209115618,RR,5,50.51735347692004,84.63437875,1006.974941342538
RR_06,36.26,304.08607767999877,0,0,63.27,849.9900591,1154.0761367799987,RR,6,71.48925943243565,61.1428025,1286.7081987124343
RR_07,37.25,691.041189666664,20.37,312.056971072,42.38,1671.4160614666669,2674.514222205331,RR,7,90.74520385875886,107.930755625,2873.19018168909
