species,origin,phylogeny,duration,habit,woody,new_name,family,succulent
Lycium_sp,n,dicot,perennial,shrub,y,,Solanaceae,n
Lycium_sp_2,n,dicot,perennial,shrub,y,,Solanaceae,n
Machaeranthera_bigelovii,n,dicot,perennial,forb,n,,Asteraceae,n
Mammillaria_microcarpa,n,dicot,perennial,cactus,y,,Cactaceae,y
Mammillaria_grahamii,n,dicot,perennial,cactus,y,,Cactaceae,y
Marina_parryi,n,dicot,perennial,subshrub,y,,Fabaceae,n
Metastelma_arizonicum,n,dicot,perennial,forb,n,Metastelma_arizonicum,Asclepidaceae,n
Mimosa_aculetecorpa,n,dicot,perennial,subshrub,y,,Fabaceae,n
Moss_sp,n,Lycopod,perennial,forb,n,,cf_Lycopodiaceae,n
Muhlenbergia_porteri,n,monocot,perennial,graminoid,n,,Poaceae,n
Opuntia_engelmannii,n,dicot,perennial,cactus,y,,Cactaceae,y
Parkinsonia_microphylla,n,dicot,perennial,tree,y,,Fabaceae,n
Pectocarya_sp,n,dicot,annual,forb,n,,Boraginaceae,n
Pennellia_longifolia,n,dicot,perennial,forb,n,,Brassicaceae,n
Pennisetum_ciliare,i,monocot,perennial,graminoid,n,,Poaceae,n
Phemeranthus_aurantiacus,n,dicot,perennial,subshrub,y,,Portulaceae,n
Plantago_purshii,n,dicot,annual,forb,n,Plantago patagonia,Plantaginaceae,n
Poa_sp_perennial,n,monocot,perennial,graminoid,n,,Poaceae,n
Poaceae_sp_Unk_21,n,monocot,perennial,graminoid,n,,Poaceae,n
Porophyllum_gracile,n,dicot,perennial,subshrub,y,,Asteraceae,n
Prosopsis_velutina,n,dicot,perennial,tree,y,,Fabaceae,n
Selaginella_pilifera,n,Lycopod,perennial,forb,n,,Selaginellaceae,n
Schrophulariaceae_sp,n,dicot,perennial,forb,n,,Schrophulariaceae,n
Sida_abutifolia,i,dicot,perennial,forb,n,,Malvaceae,n
Sphaeralcea_ambigua,n,dicot,perennial,forb,n,,Malvaceae,n
Tridens_muticus,n,monocot,perennial,graminoid,n,,Poaceae,n
Trixis_californica,n,dicot,perennial,subshrub,y,,Asteraceae,n
Unknown_forb,n,dicot,annual,forb,n,,Unknown,n
Unknown_forb_perennial,n,dicot,perennial,forb,n,,Unknown,n
Vulpia_bromoides,n,monocot,annual,graminoid,n,,Poaceae,n
Xanthisma_gracile,n,dicot,annual,forb,n,Machaeranthera gracilis,Asteraceae,n
