site_plot,site,plot,cover_type,rep,SOCcontent_gC_m2_means,totsoilCcontent_gC_m2_means,totsoilNcontent_gC_m2_means
RR_01,RR,01,bare,1,1437.6459428571372,1502.9934857142798,141.58634285714228
RR_01,RR,01,bare,2,751.4967428571399,1089.12571428571,119.8038285714281
RR_01,RR,01,bare,3,697.0404571428544,1045.5606857142816,76.23879999999971
RR_01,RR,01,buffel,1,126.7233,456.20388,16.89644
RR_01,RR,01,buffel,2,92.93042,287.23948,25.34466
RR_01,RR,01,buffel,3,903.9595400000002,1056.0275000000001,101.37864
RR_01,RR,01,other,1,1154.8809999999999,1614.4765000000002,141.414
RR_01,RR,01,other,2,989.898,1072.3895,117.845
RR_01,RR,01,other,3,1237.3725000000002,1543.7695,153.1985
RR_02,RR,02,bare,1,435.65028571428405,1296.0595999999948,65.3475428571426
RR_02,RR,02,bare,2,435.65028571428405,1023.7781714285674,54.45628571428551
RR_02,RR,02,bare,3,152.47759999999943,402.9765142857127,32.6737714285713
RR_02,RR,02,buffel,1,1343.2669799999999,2078.2621200000003,135.17152
RR_02,RR,02,buffel,2,143.61974,337.92879999999997,16.89644
RR_02,RR,02,buffel,3,295.68769999999995,692.7540399999998,33.79288
RR_02,RR,02,other,1,930.9755000000001,1249.1570000000002,94.27600000000001
RR_02,RR,02,other,2,2474.7450000000003,2957.9094999999993,271.0435
RR_02,RR,02,other,3,777.777,1260.9415000000001,82.4915
RR_03,RR,03,bare,1,762.3879999999969,925.7568571428536,87.1300571428568
RR_03,RR,03,bare,2,588.1278857142834,805.9530285714254,76.23879999999971
RR_03,RR,03,bare,3,577.2366285714263,2221.816457142849,65.3475428571426
RR_03,RR,03,other,1,895.622,1614.4765000000002,117.845
RR_03,RR,03,other,2,683.501,1343.4329999999998,70.707
RR_03,RR,03,other,3,824.91499999999985,1095.9585000000002,94.27600000000001
RR_04,RR,04,bare,1,751.4967428571399,871.3005714285681,32.6737714285713
RR_04,RR,04,bare,2,1426.7546857142802,1448.5371999999943,119.8038285714281
RR_04,RR,04,bare,3,849.518057142854,903.9743428571393,185.1513714285707
RR_04,RR,04,buffel,1,760.3398,692.7540399999998,33.79288
RR_04,RR,04,buffel,2,1275.6812200000002,1723.43688,101.37864
RR_04,RR,04,buffel,3,827.9255599999999,912.40776,76.03397999999999
RR_04,RR,04,other,1,1131.312,1284.5105,129.6295
RR_04,RR,04,other,2,1143.0964999999999,1319.864,117.845
RR_04,RR,04,other,3,1496.6315,2191.9170000000004,164.983
RR_05,RR,05,bare,1,490.1065714285696,490.1065714285696,43.5650285714284
RR_05,RR,05,bare,2,762.3879999999969,1023.7781714285674,87.1300571428568
RR_05,RR,05,bare,3,500.9978285714266,511.8890857142837,43.5650285714284
RR_05,RR,05,buffel,1,464.6521000000001,591.3753999999999,67.58576
RR_05,RR,05,buffel,2,684.30582,912.40776,84.48219999999999
RR_05,RR,05,buffel,3,591.3753999999999,726.5469199999999,59.13754
RR_05,RR,05,other,1,801.346,907.4065,94.27600000000001
RR_05,RR,05,other,2,1013.467,1355.2175,141.414
RR_05,RR,05,other,3,1060.605,1154.8809999999999,94.27600000000001
RR_06,RR,06,bare,1,718.8229714285686,784.1705142857112,65.3475428571426
RR_06,RR,06,bare,2,609.9103999999977,718.8229714285686,65.3475428571426
RR_06,RR,06,bare,3,762.3879999999969,1012.8869142857105,98.0213142857139
RR_06,RR,06,other,1,1190.2345,1673.399,153.1985
RR_06,RR,06,other,2,1343.4329999999998,1119.5275,94.27600000000001
RR_06,RR,06,other,3,872.0530000000001,1237.3725000000002,94.27600000000001
RR_07,RR,07,bare,1,980.2131428571392,1154.4732571428526,98.0213142857139
RR_07,RR,07,bare,2,2319.837771428562,3321.833428571416,272.2814285714275
RR_07,RR,07,bare,3,762.3879999999969,1089.12571428571,108.91257142857101
RR_07,RR,07,buffel,1,1714.9886599999998,1943.0905999999998,185.86084
RR_07,RR,07,buffel,2,887.0631000000001,1216.5436799999998,101.37864
RR_07,RR,07,buffel,3,1267.2329999999997,1436.1974,118.27508
RR_07,RR,07,other,1,4112.7905,6010.094999999999,459.5955
RR_07,RR,07,other,2,2840.0644999999995,3700.3330000000005,329.966
RR_07,RR,07,other,3,1543.7695,2121.21,176.7675
Lola_01,Lola,01,bare,1,780.0802000000001,1088.4840000000002,72.5656
Lola_01,Lola,01,bare,2,1088.4840000000002,1415.0292000000004,108.8484
Lola_01,Lola,01,bare,3,1995.5540000000005,2031.8368000000003,181.41400000000002
Lola_01,Lola,01,buffel,1,780.60108,805.78176,75.54203999999999
Lola_01,Lola,01,buffel,2,1082.7692399999999,1233.85332,100.72272
Lola_01,Lola,01,buffel,3,1372.3470599999998,1737.4669199999998,163.67442
Lola_01,Lola,01,other,1,1347.9732333333363,1741.7631666666705,166.60343333333373
