site_plot,site,plot,cover_type,rep,SOCcontent_gC_m2_means,totsoilCcontent_gC_m2_means,totsoilNcontent_gC_m2_means
Lola_01,Lola,01,other,2,1045.0579000000023,1120.7867333333359,90.8746000000002
Lola_01,Lola,01,other,3,1287.3901666666695,1363.119000000003,90.8746000000002
Lola_02,Lola,02,bare,1,634.949,798.2216000000001,54.4242
Lola_02,Lola,02,bare,2,1179.191,1487.5947999999996,126.98980000000002
Lola_02,Lola,02,bare,3,1650.8674,2195.1094000000003,181.41400000000002
Lola_02,Lola,02,buffel,1,919.09482,956.8658399999999,88.13238000000001
Lola_02,Lola,02,buffel,2,780.60108,956.8658399999999,100.72272
Lola_02,Lola,02,buffel,3,1422.7084199999997,1208.6726399999998,113.31306
Lola_02,Lola,02,other,1,1014.766366666669,1393.4105333333364,136.3119000000003
Lola_02,Lola,02,other,2,1908.3666000000042,2514.1972666666725,212.04073333333383
Lola_02,Lola,02,other,3,1166.224033333336,1090.4952000000023,136.3119000000003
Lola_03,Lola,03,bare,1,780.0802000000001,725.6560000000001,90.70700000000001
Lola_03,Lola,03,bare,2,761.9387999999999,961.4942000000001,90.70700000000001
Lola_03,Lola,03,bare,3,1306.1807999999999,1433.1706000000001,145.1312
Lola_03,Lola,03,buffel,1,1359.7567199999999,1611.56352,138.49374
Lola_03,Lola,03,buffel,2,478.43291999999997,768.0107399999999,88.13238000000001
Lola_03,Lola,03,buffel,3,654.69768,881.3238,88.13238000000001
Lola_03,Lola,03,other,1,1529.7224333333365,2059.8242666666715,196.89496666666707
Lola_03,Lola,03,other,2,1181.3698000000027,1696.3258666666707,151.457666666667
Lola_03,Lola,03,other,3,1499.4309000000032,1832.6377666666704,151.457666666667
Lola_04,Lola,04,bare,1,1705.2915999999998,2757.4928000000004,181.41400000000002
Lola_04,Lola,04,bare,2,1415.0292000000004,1324.3222,108.8484
Lola_04,Lola,04,bare,3,1124.7668,1451.3120000000001,126.98980000000002
Lola_04,Lola,04,buffel,1,2228.4901800000002,2329.2129,201.44544
Lola_04,Lola,04,buffel,2,768.0107399999999,931.6851600000001,62.9517
Lola_04,Lola,04,buffel,3,1019.8175400000002,1233.85332,100.72272
Lola_04,Lola,04,other,1,2362.7396000000053,2711.092233333339,227.18650000000048
Lola_04,Lola,04,other,2,863.3087000000019,1090.4952000000023,90.8746000000002
Lola_04,Lola,04,other,3,3634.9840000000077,3089.736400000007,257.47803333333394
Lola_05,Lola,05,bare,1,852.6457999999999,2449.0890000000004,199.55540000000002
Lola_05,Lola,05,bare,2,1759.7158000000002,1034.0598,90.70700000000001
Lola_05,Lola,05,bare,3,707.5146000000002,961.4942000000001,90.70700000000001
Lola_05,Lola,05,buffel,1,1661.92488,1888.5509999999997,163.67442
Lola_05,Lola,05,buffel,2,919.09482,1120.5402599999998,113.31306
Lola_05,Lola,05,buffel,3,1611.56352,1586.38284,138.49374
Lola_05,Lola,05,other,1,1908.3666000000042,2105.261566666671,181.7492000000004
Lola_05,Lola,05,other,2,1151.0782666666692,1756.908933333337,136.3119000000003
Lola_05,Lola,05,other,3,1045.0579000000023,1529.7224333333365,151.457666666667
Lola_06,Lola,06,bare,1,979.6356000000001,1124.7668,126.98980000000002
Lola_06,Lola,06,bare,2,761.9387999999999,852.6457999999999,90.70700000000001
Lola_06,Lola,06,bare,3,1904.847,2467.2304000000004,217.6968
Lola_06,Lola,06,other,1,787.5798666666683,1211.661333333336,106.02036666666692
Lola_06,Lola,06,other,2,1666.0343333333371,1984.095433333338,196.89496666666707
Lola_06,Lola,06,other,3,1105.640966666669,1211.661333333336,106.02036666666692
